1555045838.561000, Muse-5A55/variance_notch_filtered_eeg, 290.95868, 41.585842, 17.22722, 360.51538
1555045838.561000, Muse-5A55/eeg, 772.4176, 846.1539, 842.1245, 771.6117, nan, nan
1555045838.561000, Muse-5A55/notch_filtered_eeg, 765.1488, 844.294, 837.69934, 774.3265
1555045838.561000, Muse-5A55/variance_eeg, 334.0702, 43.150753, 18.945984, 404.8236
1555045838.561000, Muse-5A55/variance_notch_filtered_eeg, 290.95868, 41.585842, 17.22722, 360.51538
1555045838.561000, Muse-5A55/eeg, 761.9414, 844.94507, 842.1245, 776.04395, nan, nan
1555045838.561000, Muse-5A55/notch_filtered_eeg, 777.2642, 844.706, 841.5773, 780.17236
1555045838.561000, Muse-5A55/variance_eeg, 334.0702, 43.150753, 18.945984, 404.8236
1555045838.561000, Muse-5A55/variance_notch_filtered_eeg, 290.95868, 41.585842, 17.22722, 360.51538
1555045838.561000, Muse-5A55/eeg, 770.0, 842.1245, 841.31866, 772.8205, nan, nan
1555045838.561000, Muse-5A55/notch_filtered_eeg, 765.8889, 845.48315, 843.48126, 775.2447
1555045838.562000, Muse-5A55/variance_eeg, 334.0702, 43.150753, 18.945984, 404.8236
1555045838.562000, Muse-5A55/variance_notch_filtered_eeg, 290.95868, 41.585842, 17.22722, 360.51538
1555045838.562000, Muse-5A55/eeg, 772.01465, 842.52747, 839.707, 768.7912, nan, nan
1555045838.562000, Muse-5A55/notch_filtered_eeg, 764.62146, 843.4991, 842.23926, 768.1944
1555045838.562000, Muse-5A55/variance_eeg, 334.0702, 43.150753, 18.945984, 404.8236
1555045838.562000, Muse-5A55/variance_notch_filtered_eeg, 290.95868, 41.585842, 17.22722, 360.51538
1555045838.562000, Muse-5A55/eeg, 761.13556, 843.73627, 840.10986, 763.5531, nan, nan
1555045838.562000, Muse-5A55/notch_filtered_eeg, 774.6664, 840.83813, 840.27716, 765.2848
1555045838.562000, Muse-5A55/variance_eeg, 334.0702, 43.150753, 18.945984, 404.8236
1555045838.562000, Muse-5A55/variance_notch_filtered_eeg, 290.95868, 41.585842, 17.22722, 360.51538
1555045838.562000, Muse-5A55/eeg, 769.59705, 839.304, 843.3333, 759.12085, nan, nan
